"prior","ball_selected","ball_value","knows_endowment","donation_percentage","donation_amount","welfare_tradeoff_rating","empathy_rating","time_taken","low_value_color","high_value_color","question_order","agent_name","comprehension_check_1","comprehension_check_2","bot_check","gender","age","comp1_correct","comp2_correct","pid"
"poor","low_value",20,"true",0,0,2,2,4.181,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Ava","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","low_value",20,"true",75,15,7,7,4.453,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Stephanie","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","low_value",20,"false",25,5,2,2,4.853,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Charlotte","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"true",15,15,2,2,4.315,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Betty","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","low_value",20,"true",100,20,6,7,16.178,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Mary","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"false",100,100,7,7,3.378,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Julia","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","low_value",20,"false",75,15,4,4,3.545,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Susan","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"true",50,50,6,6,3.45,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Jessica","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"false",25,25,3,3,6.399,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Amelia","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"true",25,25,2,3,3.425,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Linda","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"false",50,50,6,6,3,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Emma","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","low_value",20,"true",15,3,2,3,3.798,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Patricia","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","low_value",20,"false",50,10,2,3,4.057,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Elizabeth","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"true",100,100,7,7,3.934,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Olivia","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","low_value",20,"false",100,20,5,5,3.813,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Jennifer","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
"poor","high_value",100,"true",75,75,6,7,5.108,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Sophia","Yes","Orange and Blue",NA,"Woman","53",TRUE,TRUE,1
